InsuredNric,Insured_Premium,Claim_count,Discounts,Coverage_final,ExpDate,EffDate,Advance_purchase,Cumulative_Policies,Insured_age,No_of_insured,avg_past_3_trips_claims,avg_past_3_trips_claims_amount,Region,plantype_fgi,Policies_Per_Year,trip_duration,Tenure_Years,RG5_capped,RG6_capped,RG7_capped,RG8_capped,RG9_capped,RG10_capped,GrossClaimIncurredWithGSTHTD_capped
495S,463.17,0,117.01,Deluxe,2022-07-22,2023-04-23,65,4,21,4,1.96,656.78,WORLDWIDE,Individual,0.79,24,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278R,134.39,1,21.06,Deluxe,2023-03-15,2023-01-06,84,6,63,3,1.3,495.98,WORLDWIDE,Family,2.575107296137339,20,2.33,0.0,0.0,1050.78,0.0,0.0,150.32,1306.75
341H,326.73,1,48.1,Classic,2023-12-22,2023-10-29,15,10,61,4,2.49,59.67,ASEAN,Individual,0.51,3,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280L,243.32,0,49.58,Deluxe,2022-03-03,2023-01-09,89,2,61,3,2.69,401.45,ASEAN,Family,0.4672897196261682,4,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
051Q,195.75,0,47.78,Deluxe,2022-05-24,2023-11-18,56,12,48,2,2.25,177.84,ASEAN,Family,2.1052631578947367,23,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736B,336.73,0,49.31,Classic,2023-07-18,2022-10-23,65,6,64,2,2.34,720.68,ASIA,Family,1.71,8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946R,441.93,0,56.17,Classic,2022-03-22,2023-06-30,60,13,19,1,2.98,651.05,ASEAN,Family,1.96,28,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287B,384.95,1,73.29,Classic,2023-04-25,2023-12-21,83,12,26,3,2.6,878.62,ASIA,Group,3.174603174603175,4,3.78,326.92,0.0,2554.91,0.0,0.0,0.0,3126.84
053V,402.15,1,46.96,Classic,2023-08-24,2023-01-14,76,10,65,4,1.58,378.88,ASEAN,Individual,1.14,21,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169G,573.35,1,67.78,Deluxe,2022-04-25,2022-12-25,46,7,55,2,0.41,707.16,ASEAN,Individual,1.4,19,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232Z,565.08,1,152.38,Deluxe,2022-04-30,2023-11-14,41,7,73,4,0.32,139.64,ASIA,Group,2.4,25,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569Q,357.69,1,137.54,Deluxe,2023-05-09,2022-06-23,70,13,73,2,0.94,885.58,ASIA,Family,1.41,4,7.17,2310.16,0.0,0.0,0.0,0.0,86.9,2687.46
509R,628.27,0,97.13,Deluxe,2022-07-29,2022-10-30,8,7,53,3,1.14,809.16,ASIA,Individual,2.84,15,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414L,482.6,1,53.92,Preferred,2023-09-21,2023-12-22,5,11,30,3,2.8,478.44,ASIA,Individual,1.926444833625219,4,5.71,450.55,0.0,0.0,0.0,43.11,0.0,549.45
656N,1037.6,1,352.82,Preferred,2022-01-15,2022-03-13,69,12,62,4,1.69,993.48,ASEAN,Individual,1.7316017316017316,19,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214Q,342.36,0,52.33,Classic,2022-07-24,2022-11-25,52,11,43,1,0.46,690.72,WORLDWIDE,Individual,1.453104359313078,7,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326P,799.66,0,39.88,Preferred,2022-07-21,2023-11-14,18,14,27,2,2.18,968.94,ASIA,Family,2.337228714524207,18,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214Q,328.3,0,47.59,Classic,2023-04-15,2022-05-23,13,1,58,4,0.69,158.84,ASIA,Individual,0.1510574018126888,18,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451J,346.11,0,2.59,Deluxe,2022-11-28,2023-08-23,87,12,28,1,1.9,368.16,ASIA,Group,0.58,5,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982N,616.35,1,156.33,Deluxe,2022-10-20,2022-02-16,70,13,49,1,1.92,455.71,ASEAN,Family,1.28,14,6.93,16.73,0.0,0.0,0.0,0.0,0.0,18.65
341T,318.32,2,91.65,Classic,2023-06-03,2023-03-18,85,7,65,1,1.7,835.13,ASEAN,Individual,0.78,8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435H,120.93,1,39.21,Classic,2022-11-17,2023-04-12,80,12,38,2,2.61,214.81,ASEAN,Individual,2.0725388601036268,15,5.79,971.95,593.68,0.0,0.0,0.0,0.0,1750.49
733O,341.75,1,119.57,Classic,2022-01-12,2022-08-05,36,10,23,3,2.83,341.98,ASEAN,Individual,3.21,15,1.26,0.0,0.0,679.04,0.0,0.0,550.67,1306.55
343Z,462.17,0,166.46,Deluxe,2022-03-01,2023-11-12,50,7,54,3,1.02,514.24,WORLDWIDE,Individual,1.29,14,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801Y,244.18,0,55.61,Classic,2022-07-31,2022-06-14,28,2,55,2,2.54,354.63,ASEAN,Individual,0.790513833992095,10,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656N,444.76,0,20.95,Classic,2022-05-25,2022-10-23,22,13,26,3,0.49,640.73,WORLDWIDE,Group,3.18,26,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951Y,280.05,0,25.88,Classic,2023-02-05,2023-01-10,6,9,52,2,1.02,529.77,ASIA,Group,3.9647577092511015,21,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820Q,334.34,0,37.13,Classic,2023-08-13,2022-10-21,70,5,53,2,0.38,175.08,ASEAN,Individual,0.794912559618442,13,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
841E,233.98,0,82.29,Deluxe,2022-02-18,2023-09-23,78,5,68,1,0.99,28.18,ASEAN,Individual,0.7541478129713424,11,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161R,419.36,0,133.57,Deluxe,2023-09-22,2023-08-02,81,7,51,4,1.96,234.0,ASEAN,Family,2.62,13,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829S,660.44,1,262.1,Deluxe,2022-03-27,2024-01-12,10,13,53,4,2.99,551.53,ASIA,Group,2.4574669187145557,17,5.29,1696.9,0.0,0.0,0.0,0.0,0.0,1842.12
462V,398.35,0,1.24,Deluxe,2023-08-26,2022-07-13,62,10,26,4,1.47,419.24,ASEAN,Individual,2.67,19,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091N,542.96,0,133.87,Deluxe,2023-10-30,2022-09-04,79,7,67,1,1.72,923.83,ASEAN,Individual,4.52,21,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
935G,605.33,0,96.29,Preferred,2022-09-14,2023-09-21,71,13,62,4,2.76,106.36,ASEAN,Group,1.7615176151761518,22,7.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513L,494.02,0,9.67,Classic,2022-10-30,2022-02-01,58,10,25,2,1.14,527.57,ASEAN,Family,2.5,26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169G,561.34,0,40.81,Deluxe,2023-06-07,2022-07-16,68,7,36,3,2.15,805.57,WORLDWIDE,Family,1.5590200445434297,15,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278R,473.59,1,57.78,Classic,2023-09-19,2022-08-26,81,7,52,1,1.36,156.98,ASIA,Individual,1.32,26,3.96,191.39,94.96,101.81,0.0,0.0,182.17,653.2
277I,539.56,0,103.46,Deluxe,2022-10-15,2023-03-02,69,12,50,3,1.18,597.78,ASEAN,Individual,2.3255813953488373,7,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395G,345.95,0,0.6,Deluxe,2023-09-25,2023-10-29,23,1,25,2,1.03,930.74,ASIA,Family,0.2331002331002331,16,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824J,361.98,1,128.76,Deluxe,2022-07-01,2022-10-25,25,11,41,2,0.74,272.83,WORLDWIDE,Individual,1.7488076311605723,23,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155T,460.27,0,149.05,Deluxe,2022-01-22,2023-02-19,4,8,46,2,1.99,547.12,WORLDWIDE,Group,0.77,28,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965X,485.63,1,108.25,Classic,2023-01-29,2022-12-28,68,1,52,2,2.99,585.18,ASIA,Family,0.16,29,6.25,0.0,0.0,0.0,0.0,731.71,0.0,772.61
835Y,333.68,0,43.81,Classic,2023-08-30,2022-12-16,6,12,69,3,1.35,387.78,ASEAN,Group,1.0,18,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347G,898.52,0,255.58,Preferred,2022-02-05,2023-05-09,60,2,37,1,0.34,313.33,ASEAN,Family,2.3529411764705883,4,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
896G,642.09,1,20.17,Preferred,2023-03-14,2022-07-19,18,7,55,3,0.54,686.66,WORLDWIDE,Group,1.0920436817472698,10,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
018Y,578.52,0,173.27,Deluxe,2023-11-21,2023-02-19,30,6,52,2,1.01,114.42,WORLDWIDE,Group,1.015228426395939,11,5.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,217.91,1,17.08,Classic,2023-10-19,2022-12-02,49,3,43,1,2.34,670.86,ASIA,Individual,0.5649717514124294,20,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348P,569.89,0,32.22,Preferred,2023-01-02,2023-08-02,6,8,39,4,2.75,276.38,ASEAN,Individual,1.081081081081081,20,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104H,453.45,0,79.63,Deluxe,2023-04-24,2022-12-13,31,10,50,1,0.72,574.71,ASIA,Individual,1.2853470437017995,14,7.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737Z,684.89,2,87.83,Preferred,2023-09-09,2024-02-03,76,3,37,1,2.36,282.66,ASEAN,Family,1.7142857142857142,11,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406A,310.49,0,49.66,Deluxe,2023-10-29,2023-07-24,77,2,46,3,0.44,349.6,ASEAN,Individual,0.35211267605633806,25,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577O,389.16,0,23.0,Deluxe,2023-01-15,2023-04-19,73,7,30,2,2.78,815.62,ASIA,Group,0.79,29,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423Y,368.98,0,69.65,Deluxe,2022-08-25,2022-07-10,64,8,37,2,0.27,642.73,ASEAN,Group,3.33,24,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,569.43,0,168.5,Deluxe,2022-01-10,2022-08-21,20,1,23,1,0.17,206.66,ASEAN,Group,0.14903129657228018,15,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326P,306.4,0,110.76,Classic,2022-01-07,2023-06-12,71,11,41,3,1.65,811.87,ASIA,Group,1.59,27,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767E,367.35,0,65.85,Deluxe,2023-06-07,2022-12-03,8,12,61,4,1.18,650.18,ASIA,Group,2.10896309314587,5,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563I,220.76,0,9.21,Classic,2023-01-12,2022-12-10,64,12,52,1,2.23,408.48,WORLDWIDE,Family,3.5502958579881656,4,3.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171Y,322.37,1,43.52,Deluxe,2022-03-11,2022-02-06,28,3,30,3,0.3,336.34,ASEAN,Individual,2.3255813953488373,19,1.29,1335.43,9.22,0.0,0.0,0.0,0.0,1446.35
262I,382.68,0,97.31,Classic,2023-03-04,2023-04-01,3,12,43,3,1.77,662.37,ASIA,Family,1.48,24,5.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883L,397.13,0,2.09,Classic,2022-10-20,2023-02-10,59,6,35,1,2.87,223.91,ASEAN,Family,2.127659574468085,3,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242X,489.28,0,172.84,Deluxe,2022-06-20,2022-06-28,2,4,44,4,2.41,444.12,ASIA,Family,0.63,14,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482Q,455.77,0,161.32,Deluxe,2022-05-20,2023-02-02,19,13,38,2,0.28,726.56,ASEAN,Individual,1.24,22,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414L,273.43,1,83.65,Classic,2022-12-11,2022-05-09,44,9,69,3,2.7,505.42,ASEAN,Individual,0.64,8,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214Q,333.43,0,126.74,Deluxe,2022-07-19,2022-11-02,75,2,27,2,0.38,805.74,ASIA,Family,0.27027027027027023,29,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423Y,272.71,1,47.27,Classic,2022-09-20,2023-06-20,38,11,49,3,1.82,575.91,ASEAN,Individual,1.7027863777089782,23,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287B,324.09,0,100.33,Deluxe,2022-02-15,2023-11-14,53,13,49,2,1.53,646.97,ASIA,Individual,2.3636363636363638,16,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884X,338.8,0,85.05,Classic,2023-06-13,2022-12-02,63,4,31,2,0.26,410.78,ASIA,Group,0.6116207951070336,13,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563I,220.83,0,6.27,Classic,2022-04-28,2023-09-26,84,1,42,4,2.71,228.86,ASEAN,Individual,0.12738853503184713,3,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487I,367.19,1,137.83,Classic,2022-03-11,2023-09-21,8,5,32,2,2.65,852.07,ASIA,Group,1.0683760683760684,3,4.68,0.0,0.0,757.62,0.0,0.0,0.0,849.09
651H,427.82,1,110.18,Deluxe,2023-01-10,2022-03-24,84,9,65,3,2.51,360.49,ASEAN,Individual,2.86,26,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482G,336.83,0,18.22,Deluxe,2022-12-27,2023-07-15,37,11,51,1,0.34,829.07,ASIA,Family,3.481012658227848,21,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
936P,349.94,0,51.21,Classic,2022-07-18,2022-12-20,31,12,25,1,0.65,781.85,ASEAN,Family,1.99,4,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001G,443.98,0,104.3,Deluxe,2023-01-30,2023-10-20,75,2,64,1,1.21,774.22,ASIA,Group,0.437636761487965,12,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
011W,83.81,0,32.17,Deluxe,2023-05-30,2022-04-22,32,8,40,2,1.09,100.43,WORLDWIDE,Group,2.48,28,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136D,584.94,0,118.71,Preferred,2022-09-20,2022-12-18,64,6,30,1,2.2,177.06,ASEAN,Individual,0.62,15,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801Y,1166.9,0,57.29,Preferred,2023-01-04,2023-03-01,81,14,52,2,2.9,348.39,WORLDWIDE,Group,2.2508038585209005,19,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016H,582.69,0,210.59,Preferred,2022-04-29,2022-11-29,29,3,70,4,0.16,274.04,ASIA,Individual,0.5319148936170213,5,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835Y,679.82,1,70.53,Deluxe,2022-05-10,2023-07-14,65,10,63,2,0.98,701.94,ASEAN,Group,1.3908205841446453,27,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710D,643.96,2,74.14,Deluxe,2022-06-06,2023-04-01,51,5,58,2,1.51,847.53,WORLDWIDE,Individual,0.697350069735007,6,7.17,0.0,374.78,0.0,231.55,0.0,0.0,685.08
965X,284.43,1,62.97,Classic,2023-03-14,2023-12-24,36,9,55,4,0.67,275.08,ASIA,Individual,0.58,18,0.74,349.99,0.0,0.0,0.0,920.43,271.75,1645.28
414L,565.31,0,158.44,Deluxe,2022-11-11,2022-09-13,39,6,65,1,2.86,916.77,ASEAN,Individual,0.9188361408882082,23,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782I,586.03,0,6.76,Preferred,2022-08-07,2023-12-14,48,11,25,1,0.71,151.69,ASEAN,Individual,0.91,22,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
869X,192.77,0,21.3,Classic,2023-10-12,2024-01-16,14,10,64,2,0.76,818.24,WORLDWIDE,Family,0.75,7,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632U,641.17,0,126.3,Preferred,2023-05-04,2023-10-05,62,6,46,4,2.78,141.04,WORLDWIDE,Individual,1.075268817204301,6,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824J,81.7,0,10.23,Classic,2022-05-11,2024-02-03,25,5,29,2,2.72,40.17,ASEAN,Individual,0.6535947712418301,13,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171Y,232.23,0,70.79,Classic,2022-09-26,2022-06-20,29,5,37,4,0.81,731.25,ASIA,Family,3.18,13,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277I,202.25,0,60.33,Deluxe,2022-06-01,2022-09-11,68,8,60,1,0.54,551.78,ASEAN,Family,1.1173184357541899,21,7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
018Y,371.82,0,32.76,Deluxe,2022-09-20,2022-09-03,87,14,35,3,2.51,716.61,ASEAN,Individual,3.910614525139665,28,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498A,423.47,0,109.27,Deluxe,2022-02-04,2023-04-20,62,7,63,4,1.47,782.27,ASEAN,Family,1.02,27,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387Z,50.0,0,13.1,Preferred,2022-07-12,2024-02-20,37,3,43,3,1.06,812.95,ASEAN,Individual,0.6237006237006237,14,4.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423Y,644.58,0,106.08,Deluxe,2022-07-03,2022-08-27,16,12,67,3,2.31,899.5,ASIA,Individual,2.146690518783542,5,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427R,331.16,0,122.43,Deluxe,2023-07-07,2022-11-19,36,11,71,2,1.5,970.85,ASEAN,Individual,2.5056947608200457,24,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166T,429.4,1,42.54,Classic,2023-01-02,2023-01-09,35,9,49,3,0.77,916.08,ASEAN,Individual,1.3493253373313343,13,6.67,0.0,314.66,1061.79,17.81,0.0,0.0,1531.12
321V,270.88,0,93.22,Classic,2022-10-17,2023-09-22,13,7,49,3,1.17,15.11,WORLDWIDE,Individual,1.0014306151645207,25,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662T,511.07,0,13.29,Preferred,2023-07-15,2022-06-03,35,10,45,4,2.18,682.29,ASEAN,Family,2.9940119760479043,19,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030Z,156.24,1,31.76,Classic,2022-08-01,2023-05-19,68,14,64,3,1.35,749.42,ASIA,Group,0.72,7,4.74,468.08,0.0,357.18,0.0,0.0,129.39,1096.54
039C,554.82,1,125.83,Deluxe,2023-04-10,2023-03-18,28,12,71,3,1.97,505.21,ASEAN,Individual,3.45,19,1.92,0.0,0.0,0.0,1081.01,0.0,0.0,1241.06
951Y,373.9,0,102.09,Deluxe,2023-12-04,2023-01-13,80,1,27,3,2.81,107.86,ASEAN,Individual,0.4716981132075471,21,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414L,560.72,1,38.01,Deluxe,2022-12-29,2024-01-08,49,2,42,2,0.92,285.81,ASEAN,Individual,0.5617977528089888,18,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
868O,281.49,0,51.75,Classic,2023-01-01,2023-07-31,13,14,55,4,0.53,995.18,ASIA,Group,4.22,4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498A,327.87,1,31.52,Deluxe,2022-05-08,2024-02-03,43,9,36,4,0.83,50.97,WORLDWIDE,Individual,1.6917293233082706,14,5.32,16.64,0.0,0.0,0.0,0.0,0.0,18.21
204L,364.49,0,42.2,Deluxe,2023-02-03,2023-12-08,15,5,65,2,2.1,526.79,ASIA,Individual,1.33,29,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325Y,351.27,1,3.03,Deluxe,2022-10-07,2022-12-02,82,1,63,4,2.71,236.4,ASEAN,Family,0.17667844522968199,13,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016I,509.88,1,82.33,Classic,2022-03-25,2022-05-28,72,6,44,2,0.06,687.42,ASEAN,Individual,1.3157894736842106,16,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
016H,385.57,1,87.33,Classic,2022-03-09,2023-12-27,68,14,64,2,1.29,762.2,WORLDWIDE,Individual,2.376910016977929,17,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969M,743.76,0,108.39,Deluxe,2022-05-14,2023-05-10,89,12,21,1,1.24,196.58,WORLDWIDE,Individual,3.89,19,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321V,614.61,0,159.45,Deluxe,2022-04-01,2023-11-09,41,14,69,4,1.54,725.73,ASEAN,Individual,3.74,3,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982N,392.84,1,57.89,Deluxe,2022-08-16,2023-01-12,19,12,54,4,0.57,973.13,ASEAN,Family,3.1007751937984493,18,3.87,21.68,0.0,0.0,0.0,0.0,0.0,24.26
710D,362.81,1,92.25,Deluxe,2022-03-01,2023-07-30,47,4,61,3,2.71,790.55,ASEAN,Individual,0.5952380952380952,17,6.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423X,307.67,0,40.52,Classic,2023-04-07,2023-12-09,8,1,24,2,0.78,735.46,ASIA,Group,0.5813953488372093,13,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393A,1027.13,0,10.83,Preferred,2023-09-06,2022-05-17,43,10,49,4,1.7,128.55,ASEAN,Family,3.37,15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430S,255.14,0,87.72,Classic,2022-08-28,2024-01-03,71,1,56,2,1.53,638.71,ASIA,Group,0.3215434083601286,15,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662T,353.57,0,141.04,Classic,2022-12-13,2022-12-21,13,1,38,3,2.46,844.06,ASIA,Individual,1.0204081632653061,25,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940D,417.54,0,45.39,Preferred,2023-11-03,2023-06-20,44,13,63,1,0.66,151.24,ASEAN,Group,1.61,10,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288A,201.64,0,72.72,Deluxe,2022-07-15,2023-03-09,65,12,71,1,2.11,320.17,ASEAN,Individual,4.56,10,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
869X,798.35,0,27.71,Preferred,2022-07-13,2023-11-14,27,14,24,1,1.5,570.57,ASIA,Individual,1.72,19,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
615T,128.4,0,18.9,Deluxe,2022-07-15,2022-12-19,34,11,39,1,2.81,959.86,ASEAN,Individual,1.09,23,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277I,310.24,0,83.12,Classic,2022-12-10,2022-07-19,13,1,32,3,1.33,455.19,ASIA,Group,0.46511627906976744,28,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569Q,564.79,0,97.31,Classic,2022-07-18,2022-05-27,40,11,60,4,0.8,384.02,ASIA,Group,1.9572953736654803,7,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384E,345.39,0,12.65,Classic,2022-02-09,2022-10-08,51,7,72,4,2.56,282.07,WORLDWIDE,Group,1.3565891472868217,11,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
044G,171.69,0,20.08,Classic,2023-09-27,2023-05-05,47,9,20,1,1.94,996.6,ASEAN,Family,4.87,15,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026K,187.01,1,49.11,Classic,2022-12-22,2022-02-11,32,11,29,3,2.79,871.51,ASEAN,Group,1.867572156196944,12,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325Y,237.54,0,59.94,Classic,2023-11-24,2023-09-26,17,13,21,1,1.23,25.48,ASEAN,Individual,1.41,22,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764U,179.29,2,2.8,Deluxe,2023-06-14,2023-02-16,63,3,26,2,0.48,427.2,ASEAN,Group,1.5384615384615385,21,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320B,247.18,0,70.68,Classic,2023-01-22,2023-08-28,71,13,21,1,1.95,43.73,ASEAN,Individual,4.29042904290429,6,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310V,427.86,1,123.19,Deluxe,2023-07-16,2023-01-06,70,4,37,2,0.82,234.39,ASEAN,Family,0.9569377990430623,26,4.18,0.0,0.0,294.91,0.0,0.0,0.0,335.07
822V,319.59,1,127.57,Deluxe,2022-04-20,2023-12-09,66,7,65,3,0.61,58.51,ASIA,Individual,0.9695290858725762,3,7.22,0.0,0.0,0.0,0.0,0.0,44.11,47.73
824J,454.82,0,48.99,Deluxe,2022-09-19,2022-12-07,88,8,34,1,1.82,288.83,ASIA,Individual,1.228878648233487,26,6.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103C,249.43,0,68.47,Classic,2022-10-14,2022-11-11,7,6,26,3,2.73,507.73,ASEAN,Individual,1.37,4,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169G,349.85,1,67.5,Classic,2022-02-04,2023-09-06,29,12,71,2,0.77,39.77,ASIA,Group,1.8927444794952681,25,6.34,0.0,0.0,0.0,0.0,717.19,0.0,763.53
509R,322.1,0,40.25,Classic,2022-11-22,2023-01-04,37,6,32,2,0.99,3.29,ASEAN,Group,1.5,18,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341H,867.65,0,158.34,Preferred,2023-05-22,2023-10-04,31,8,44,4,0.19,65.84,ASEAN,Group,1.0165184243964422,17,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423X,284.14,0,38.27,Deluxe,2023-11-09,2022-11-19,18,9,31,4,1.39,76.22,ASIA,Group,1.05,20,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514Q,384.5,2,82.95,Classic,2022-01-21,2023-05-10,47,5,37,2,0.38,53.07,ASIA,Individual,2.74,19,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911R,193.6,0,19.44,Deluxe,2023-01-04,2024-01-02,13,12,70,3,2.67,696.36,WORLDWIDE,Individual,1.5228426395939088,3,7.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343Z,362.81,0,142.73,Classic,2023-01-01,2022-12-29,52,12,52,2,0.95,714.77,WORLDWIDE,Individual,1.81,20,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103C,130.83,1,29.95,Classic,2022-11-14,2022-10-01,17,6,69,2,1.28,72.29,WORLDWIDE,Individual,1.02,28,1.67,277.64,0.0,3798.36,711.4,0.0,0.0,5317.67
896G,441.77,1,110.02,Deluxe,2023-11-08,2023-07-30,62,1,60,2,0.74,771.38,ASIA,Family,0.1267427122940431,6,7.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564C,242.53,0,83.26,Classic,2022-09-19,2023-07-03,30,1,25,4,2.68,680.42,ASEAN,Individual,0.17889087656529518,6,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
