ClaimNo_AT,AccidentDesc,AccidentTypeDesc,DriverNric
POL-2020-525850,Trip cancelled due to natural disaster. Non-refundable bookings worth $5000.,travel,S3972043C
POL-2021-100681,"Fire damage at parking lot. jewelry, camera equipment destroyed. Total loss estimated at $5000.",property,S5497120B
POL-2020-265579,Water damage to home due to tire blowout. Estimated repair cost $5000.,property,S6995244A
POL-2024-372241,Pre-existing chest pain aggravated during travel. Required physical therapy.,medical,S4071787F
POL-2020-902144,"Food poisoning at airport cafe. Symptoms included severe headache, fever. Hospitalized for 5 days.",medical,S1735276H
POL-2020-341801,Flight delayed for 3 hours. Missed connecting flight. Incurred $5000 in expenses. Urgent processing requested.,travel,S6936879F
POL-2020-313137,Passport stolen in highway. Had to stopped at traffic light. Additional costs incurred. Insurance claim to follow.,travel,S4627767E
POL-2023-147822,"Allergic reaction to peanuts. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S1527353D
POL-2022-745266,"Luggage lost on flight from Sydney to Dubai. Contained jewelry, camera equipment.",travel,S2573623D
POL-2024-457006,Car accident on Highway 1 involving 2 vehicles. knee injury reported. front bumper damaged to vehicle.,vehicle,S5087449F
POL-2020-517106,Pre-existing chest pain aggravated during travel. Required emergency surgery.,medical,S9168705A
POL-2022-146230,"Luggage lost on flight from Tokyo to Los Angeles. Contained jewelry, camera equipment.",travel,S8369095H
POL-2021-697977,"Burglary at residence. business documents, laptop stolen. Property damage includes rear damage.",property,S3102292D
POL-2020-102914,Sudden asthma attack while working. Transported to hospital. observation administered.,medical,S7290929D
POL-2022-968684,Hit and run incident in parking lot. Vehicle minor scratches. Driver had knee injury. Seeking full compensation.,vehicle,S4656866C
POL-2020-581693,Food poisoning at local restaurant. Symptoms included dizziness. Hospitalized for 2 days.,medical,S4081050E
POL-2021-422662,Vehicle collided with tree at highway. Driver experienced whiplash. Icy conditions. Seeking full compensation.,vehicle,S3507382D
POL-2021-105891,Passport stolen in office building. Had to turning left. Additional costs incurred.,travel,S1778376F
POL-2021-222314,Hit and run incident in shopping mall. Vehicle total loss. Driver had bruises.,vehicle,S5076456A
POL-2022-578715,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle minor scratches.,vehicle,S1108971E
POL-2024-872744,Sudden asthma attack while dining. Transported to hospital. physical therapy administered. Insurance claim to follow.,medical,S2471812C
POL-2020-827937,Car accident on Route 66 involving 3 vehicles. neck strain reported. front bumper damaged to vehicle. Seeking full compensation.,vehicle,S8031000C
POL-2020-566529,Car accident on Main Street involving 2 vehicles. concussion reported. total loss to vehicle. Urgent processing requested.,vehicle,S1413795C
POL-2024-860801,Flight delayed for 12 hours. Missed connecting flight. Incurred $5000 in expenses.,travel,S3822741B
POL-2023-211585,Passport stolen in shopping mall. Had to parking. Additional costs incurred.,travel,S7141166B
POL-2024-428149,Sudden asthma attack while exercising. Transported to hospital. observation administered.,medical,S6575333B
POL-2020-886864,Equipment failure during cycling resulted in bruises. Required observation.,sports,S9669861A
POL-2024-493674,"Luggage lost on flight from Sydney to Los Angeles. Contained jewelry, camera equipment.",travel,S4622993B
POL-2022-426098,Water damage to apartment due to mechanical failure. Estimated repair cost $2500.,property,S9540685E
POL-2020-156596,Rear-ended by another vehicle while slowing down. Suffered fractured ribs. Police report filed. Insurance claim to follow.,vehicle,S8998907C
POL-2020-364201,Car accident on Park Avenue involving 3 vehicles. shoulder pain reported. total loss to vehicle.,vehicle,S3269458C
POL-2020-541933,Equipment failure during swimming resulted in bruises. Required emergency surgery. Urgent processing requested.,sports,S9806371B
POL-2020-764843,Vehicle collided with pedestrian at residential area. Driver experienced concussion. Foggy conditions.,vehicle,S1218871C
POL-2023-476622,"Fire damage at residential area. electronics, clothing, documents destroyed. Total loss estimated at $2500.",property,S3190844H
POL-2021-627788,Car accident on Interstate 95 involving 4 vehicles. whiplash reported. significant damage to vehicle. Urgent processing requested.,vehicle,S4254164A
POL-2024-342020,Overexertion during working caused shoulder pain. Doctor recommended observation.,sports,S1963702F
POL-2021-905206,Vehicle collided with pole at office building. Driver experienced back pain. Snowy conditions.,vehicle,S2609837D
POL-2022-496487,Water damage to storage unit due to brake failure. Estimated repair cost $25000. No witnesses present.,property,S2241975H
POL-2024-961067,Single vehicle accident due to brake failure. knee injury sustained. Vehicle significant damage. No witnesses present.,vehicle,S5423659D
POL-2023-610497,Vehicle collided with cyclist at shopping mall. Driver experienced neck strain. Normal conditions.,vehicle,S4406178B
POL-2020-501777,Hit and run incident in parking lot. Vehicle rear damage. Driver had back pain.,vehicle,S7597744H
POL-2022-163380,Car accident on Park Avenue involving 2 vehicles. fractured ribs reported. significant damage to vehicle.,vehicle,S7605464F
POL-2022-734031,"Luggage lost on flight from Sydney to Hong Kong. Contained jewelry, camera equipment. Urgent processing requested.",travel,S7568552D
POL-2023-298991,Rear-ended by another vehicle while parking. Suffered knee injury. Police report filed.,vehicle,S7323816C
POL-2022-253991,Hit and run incident in residential area. Vehicle minor scratches. Driver had concussion.,vehicle,S2970838B
POL-2021-206338,Passport stolen in residential area. Had to stopped at traffic light. Additional costs incurred.,travel,S6378128E
POL-2024-527361,Rear-ended by another vehicle while stopped at traffic light. Suffered fractured ribs. Police report filed.,vehicle,S9271038B
POL-2021-310777,"Food poisoning at street vendor. Symptoms included severe headache, fever. Hospitalized for 4 days.",medical,S7379809E
POL-2020-482384,"Food poisoning at street vendor. Symptoms included severe headache, fever. Hospitalized for 2 days.",medical,S4131618F
POL-2020-182507,Trip cancelled due to weather. Non-refundable bookings worth $10000.,travel,S1582747D
POL-2022-589584,Fell ill with COVID-19 during trip to Egypt. Medical expenses $25000.,travel,S7272364E
POL-2024-846697,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes minor scratches.",property,S8608994G
POL-2022-691729,Allergic reaction to insect sting. Experienced severe pain. Emergency treatment required.,medical,S5025343G
POL-2020-551839,Car accident on Highway 1 involving 3 vehicles. concussion reported. minor scratches to vehicle. No witnesses present.,vehicle,S9435412G
POL-2024-448169,Fall during football practice. fractured ribs to back. X-ray showed muscle strain. Seeking full compensation.,sports,S9983971A
POL-2022-703682,Allergic reaction to shellfish. Experienced severe pain. Emergency treatment required. Insurance claim to follow.,medical,S3392353F
POL-2022-243349,Single vehicle accident due to brake failure. back pain sustained. Vehicle minor scratches.,vehicle,S1227268H
POL-2022-782271,"Food poisoning at hotel restaurant. Symptoms included severe headache, fever. Hospitalized for 4 days.",medical,S5796861A
POL-2022-323861,Flight delayed for 24 hours. Missed hotel reservation. Incurred $1000 in expenses.,travel,S6049898F
POL-2020-813733,Injured back while playing tennis. back pain diagnosed. Treatment: observation.,sports,S8682249D
POL-2020-486253,Fell ill with altitude sickness during trip to Mexico. Medical expenses $1000.,travel,S3383853B
POL-2022-875028,Storm damage to vehicle. rear damage observed. Temporary accommodation needed. Urgent processing requested.,property,S4508371F
POL-2020-621373,Rear-ended by another vehicle while slowing down. Suffered whiplash. Police report filed.,vehicle,S9355981A
POL-2021-566311,Food poisoning at airport cafe. Symptoms included dizziness. Hospitalized for 4 days.,medical,S6728364C
POL-2021-590765,Car accident on Highway 1 involving 4 vehicles. whiplash reported. total loss to vehicle.,vehicle,S7823925D
POL-2022-441294,Flight delayed for 3 hours. Missed connecting flight. Incurred $1000 in expenses.,travel,S2054981A
POL-2020-424207,Hit and run incident in residential area. Vehicle front bumper damaged. Driver had bruises.,vehicle,S3989387C
POL-2024-825928,"Luggage lost on flight from Tokyo to Los Angeles. Contained business documents, laptop.",travel,S6052021D
POL-2020-308099,Hit and run incident in office building. Vehicle minor scratches. Driver had neck strain.,vehicle,S9294271C
POL-2021-855861,Rear-ended by another vehicle while parking. Suffered shoulder pain. Police report filed.,vehicle,S9692233G
POL-2021-346028,Rear-ended by another vehicle while parking. Suffered shoulder pain. Police report filed.,vehicle,S7266775F
POL-2020-401286,Sudden diabetic emergency while traveling. Transported to hospital. medication administered. Seeking full compensation.,medical,S4189417C
POL-2024-467010,Overexertion during exercising caused knee injury. Doctor recommended emergency surgery.,sports,S8160876B
POL-2024-296542,Sudden heart palpitations while traveling. Transported to hospital. emergency surgery administered.,medical,S8702666A
POL-2020-203463,Vehicle collided with pole at shopping mall. Driver experienced back pain. Clear conditions.,vehicle,S4353820G
POL-2020-616942,Fell ill with altitude sickness during trip to Mexico. Medical expenses $5000.,travel,S4728927C
POL-2022-564116,"Luggage lost on flight from New York to Bangkok. Contained electronics, clothing, documents.",travel,S9027501D
POL-2021-846660,Slipped and fell at downtown. Resulted in fractured ribs. Required physical therapy.,medical,S3562992C
POL-2021-287315,Trip cancelled due to family emergency. Non-refundable bookings worth $1000.,travel,S6806697C
POL-2022-787959,Hit and run incident in parking lot. Vehicle total loss. Driver had shoulder pain. Urgent processing requested.,vehicle,S6662878D
POL-2022-516095,Fell ill with dengue fever during trip to India. Medical expenses $5000. Urgent processing requested.,travel,S2925023A
POL-2024-419700,Passport stolen in intersection. Had to parking. Additional costs incurred. Urgent processing requested.,travel,S6289106D
POL-2023-282992,Slipped and fell at office building. Resulted in fractured ribs. Required observation. Urgent processing requested.,medical,S2203548D
POL-2023-166330,Car accident on Highway 1 involving 4 vehicles. shoulder pain reported. minor scratches to vehicle. No witnesses present.,vehicle,S8944457F
POL-2022-190678,"Allergic reaction to peanuts. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S3923931B
POL-2023-384813,Vehicle collided with wall at office building. Driver experienced bruises. Icy conditions.,vehicle,S6741514F
POL-2021-163122,Slipped and fell at downtown. Resulted in concussion. Required emergency surgery. Seeking full compensation.,medical,S9332423F
POL-2020-753000,Storm damage to apartment. front bumper damaged observed. Temporary accommodation needed.,property,S3655761A
POL-2022-176851,Fall during skiing practice. bruises to elbow. X-ray showed hairline fracture.,sports,S2506684C
POL-2023-138100,Pre-existing asthma attack aggravated during travel. Required observation. Seeking full compensation.,medical,S9925148H
POL-2021-183784,"Luggage lost on flight from New York to Hong Kong. Contained business documents, laptop.",travel,S9230054H
POL-2022-829235,Pre-existing heart palpitations aggravated during travel. Required specialized care.,medical,S1475103H
POL-2021-981495,"Luggage lost on flight from Sydney to Dubai. Contained electronics, clothing, documents. No witnesses present.",travel,S8052413F
POL-2022-297526,Single vehicle accident due to brake failure. neck strain sustained. Vehicle total loss. No witnesses present.,vehicle,S7412776F
POL-2024-172617,Slipped and fell at downtown. Resulted in neck strain. Required observation.,medical,S3659852B
POL-2024-771176,Allergic reaction to peanuts. Experienced severe pain. Emergency treatment required.,medical,S5568225E
POL-2023-688526,Allergic reaction to latex. Experienced difficulty breathing. Emergency treatment required.,medical,S1019975C
POL-2023-412207,Pre-existing diabetic emergency aggravated during travel. Required observation.,medical,S8302424H
POL-2021-504390,Storm damage to office. front bumper damaged observed. Temporary accommodation needed.,property,S2493623G
POL-2023-356129,Food poisoning at hotel restaurant. Symptoms included severe pain. Hospitalized for 1 days.,medical,S1554088A
POL-2024-547348,Fell ill with dengue fever during trip to Thailand. Medical expenses $10000.,travel,S7478034E
POL-2024-829751,"Allergic reaction to peanuts. Experienced severe headache, fever. Emergency treatment required.",medical,S7007810C
POL-2021-485883,Rear-ended by another vehicle while turning left. Suffered concussion. Police report filed.,vehicle,S8817371A
POL-2022-346174,Equipment failure during cycling resulted in fractured ribs. Required specialized care.,sports,S4462315G
POL-2022-395376,Sudden diabetic emergency while working. Transported to hospital. medication administered.,medical,S6627064G
POL-2022-843478,Vehicle collided with pedestrian at office building. Driver experienced back pain. Snowy conditions.,vehicle,S5901629D
POL-2022-389184,"Allergic reaction to latex. Experienced severe headache, fever. Emergency treatment required.",medical,S5103508D
POL-2020-651366,Passport stolen in parking lot. Had to parking. Additional costs incurred. Previous claim history: none.,travel,S7877280E
POL-2021-734848,"Luggage lost on flight from Sydney to Los Angeles. Contained business documents, laptop.",travel,S6506081G
POL-2020-361281,Vehicle collided with divider at parking lot. Driver experienced whiplash. Windy conditions. Seeking full compensation.,vehicle,S9764165E
POL-2022-415997,Vandalism to apartment. minor scratches requiring professional repair. Urgent processing requested.,property,S1727321H
POL-2022-595575,"Fire damage at downtown. electronics, clothing, documents destroyed. Total loss estimated at $1000. No witnesses present.",property,S7925610F
POL-2024-553862,Storm damage to apartment. front bumper damaged observed. Temporary accommodation needed.,property,S6062881E
POL-2020-248305,"Burglary at residence. electronics, clothing, documents stolen. Property damage includes front bumper damaged.",property,S4748802A
POL-2022-512596,Vandalism to vehicle. rear damage requiring professional repair. Previous claim history: none.,property,S4423225H
POL-2020-682355,Injured shoulder while playing swimming. bruises diagnosed. Treatment: emergency surgery.,sports,S6660327H
POL-2022-829560,Hit and run incident in parking lot. Vehicle front bumper damaged. Driver had back pain. Previous claim history: none.,vehicle,S6005392D
POL-2021-411032,"Fire damage at downtown. jewelry, camera equipment destroyed. Total loss estimated at $2500.",property,S7224122A
POL-2021-304370,Car accident on Park Avenue involving multiple vehicles. concussion reported. total loss to vehicle.,vehicle,S3277202A
POL-2021-795505,Pre-existing heart palpitations aggravated during travel. Required observation.,medical,S1314011E
POL-2020-678991,Trip cancelled due to natural disaster. Non-refundable bookings worth $25000.,travel,S7647888A
POL-2021-943807,Fell ill with COVID-19 during trip to Thailand. Medical expenses $10000.,travel,S7399318A
POL-2022-317935,Water damage to storage unit due to brake failure. Estimated repair cost $2500.,property,S4159546A
POL-2021-269855,Vandalism to vehicle. minor scratches requiring professional repair.,property,S7150740A
POL-2022-865285,"Fire damage at parking lot. electronics, clothing, documents destroyed. Total loss estimated at $2500.",property,S4039595H
POL-2020-242912,Car accident on Route 66 involving 2 vehicles. knee injury reported. total loss to vehicle. No witnesses present.,vehicle,S3572249D
POL-2021-306851,Hit and run incident in shopping mall. Vehicle front bumper damaged. Driver had back pain.,vehicle,S4854092A
POL-2022-955412,Hit and run incident in parking lot. Vehicle rear damage. Driver had shoulder pain.,vehicle,S8176895H
POL-2020-281991,Car accident on Highway 1 involving 2 vehicles. bruises reported. total loss to vehicle.,vehicle,S6287988D
POL-2021-346402,Car accident on Highway 1 involving 3 vehicles. concussion reported. rear damage to vehicle. No witnesses present.,vehicle,S5333808H
POL-2023-852562,Rear-ended by another vehicle while changing lanes. Suffered concussion. Police report filed. Photos attached.,vehicle,S1274903B
POL-2023-971707,Single vehicle accident due to animal crossing. shoulder pain sustained. Vehicle front bumper damaged.,vehicle,S1981294H
POL-2022-534026,Single vehicle accident due to tire blowout. concussion sustained. Vehicle minor scratches.,vehicle,S9307947F
POL-2021-926927,"Luggage lost on flight from London to Los Angeles. Contained electronics, clothing, documents. Photos attached.",travel,S4814971H
POL-2023-513351,Trip cancelled due to political unrest. Non-refundable bookings worth $25000.,travel,S1672820F
POL-2023-361204,Fell ill with dengue fever during trip to India. Medical expenses $25000. No witnesses present.,travel,S3473513D
POL-2020-656705,Pre-existing asthma attack aggravated during travel. Required emergency surgery.,medical,S2442046A
POL-2020-576488,Storm damage to home. minor scratches observed. Temporary accommodation needed.,property,S7978124A
POL-2022-208599,Pre-existing diabetic emergency aggravated during travel. Required specialized care.,medical,S4783854C
POL-2020-617987,Rear-ended by another vehicle while turning left. Suffered concussion. Police report filed.,vehicle,S3989746F
POL-2021-684640,"Food poisoning at street vendor. Symptoms included nausea, vomiting, diarrhea. Hospitalized for 3 days. No witnesses present.",medical,S5270257D
POL-2023-812116,Car accident on Main Street involving 3 vehicles. knee injury reported. front bumper damaged to vehicle.,vehicle,S7302872C
POL-2022-408729,Vehicle collided with pedestrian at office building. Driver experienced shoulder pain. Icy conditions.,vehicle,S4279979D
POL-2022-587194,Rear-ended by another vehicle while changing lanes. Suffered whiplash. Police report filed.,vehicle,S6546440A
POL-2020-741809,Trip cancelled due to natural disaster. Non-refundable bookings worth $10000.,travel,S7333787F
POL-2023-765490,"Luggage lost on flight from Sydney to Dubai. Contained jewelry, camera equipment. Insurance claim to follow.",travel,S4047737G
POL-2023-434397,"Luggage lost on flight from London to Los Angeles. Contained electronics, clothing, documents. No witnesses present.",travel,S8589182H
POL-2024-187781,Single vehicle accident due to slippery road. concussion sustained. Vehicle front bumper damaged.,vehicle,S7700274F
POL-2024-399722,Car accident on Main Street involving 2 vehicles. knee injury reported. total loss to vehicle.,vehicle,S3645228C
POL-2021-557065,Rear-ended by another vehicle while parking. Suffered knee injury. Police report filed.,vehicle,S6298322G
POL-2020-552423,Allergic reaction to latex. Experienced difficulty breathing. Emergency treatment required.,medical,S5977111C
POL-2021-314709,"Luggage lost on flight from Sydney to Paris. Contained electronics, clothing, documents. Previous claim history: none.",travel,S6698254B
POL-2020-958702,"Luggage lost on flight from New York to Paris. Contained electronics, clothing, documents.",travel,S4765638C
POL-2024-794939,Injured ankle while playing skiing. neck strain diagnosed. Treatment: specialized care.,sports,S7243023E
POL-2023-412427,Water damage to storage unit due to mechanical failure. Estimated repair cost $1000.,property,S9988988H
POL-2022-420439,Flight delayed for 3 hours. Missed hotel reservation. Incurred $1000 in expenses.,travel,S1981259G
POL-2023-769286,Food poisoning at cruise ship dining. Symptoms included difficulty breathing. Hospitalized for 3 days.,medical,S9430150H
POL-2022-518691,Flight delayed for 48 hours. Missed hotel reservation. Incurred $1000 in expenses. Urgent processing requested.,travel,S7504808G
POL-2024-247754,Fell ill with food poisoning during trip to Thailand. Medical expenses $2500. No witnesses present.,travel,S4024807B
POL-2020-398133,Car accident on Highway 1 involving 4 vehicles. bruises reported. significant damage to vehicle.,vehicle,S6127759B
POL-2023-744871,Sudden heart palpitations while sightseeing. Transported to hospital. specialized care administered.,medical,S2877649B
POL-2021-638640,Flight delayed for 48 hours. Missed connecting flight. Incurred $500 in expenses. Seeking full compensation.,travel,S5658782B
POL-2020-873325,"Luggage lost on flight from Singapore to Paris. Contained electronics, clothing, documents.",travel,S8084151G
POL-2024-453014,Hit and run incident in parking lot. Vehicle front bumper damaged. Driver had back pain.,vehicle,S4300220C
POL-2021-383275,Single vehicle accident due to tire blowout. bruises sustained. Vehicle rear damage.,vehicle,S1778685F
POL-2024-279218,Passport stolen in downtown. Had to slowing down. Additional costs incurred. Seeking full compensation.,travel,S3715204G
POL-2021-962595,Sudden asthma attack while traveling. Transported to hospital. medication administered.,medical,S7679136G
POL-2021-324909,Storm damage to storage unit. front bumper damaged observed. Temporary accommodation needed.,property,S4469681G
POL-2021-516965,Food poisoning at cruise ship dining. Symptoms included severe pain. Hospitalized for 3 days.,medical,S2913352G
POL-2020-299095,Single vehicle accident due to brake failure. concussion sustained. Vehicle total loss.,vehicle,S2823015A
POL-2024-990396,Food poisoning at hotel restaurant. Symptoms included difficulty breathing. Hospitalized for 4 days.,medical,S3556085B
POL-2022-842650,Injured wrist while playing skiing. knee injury diagnosed. Treatment: observation. No witnesses present.,sports,S2062009H
POL-2024-275162,Single vehicle accident due to brake failure. back pain sustained. Vehicle minor scratches.,vehicle,S8088238F
POL-2024-566191,Injured elbow while playing football. shoulder pain diagnosed. Treatment: specialized care.,sports,S3138015H
POL-2024-826431,Hit and run incident in parking lot. Vehicle total loss. Driver had whiplash.,vehicle,S8029640D
POL-2023-659799,Food poisoning at street vendor. Symptoms included dizziness. Hospitalized for 5 days.,medical,S7322835F
POL-2023-314056,Single vehicle accident due to slippery road. concussion sustained. Vehicle minor scratches. Photos attached.,vehicle,S3321393F
POL-2023-874031,Rear-ended by another vehicle while turning left. Suffered whiplash. Police report filed. Seeking full compensation.,vehicle,S8300694A
POL-2023-718938,Equipment failure during cycling resulted in back pain. Required observation.,sports,S3394433G
POL-2024-104034,Pre-existing diabetic emergency aggravated during travel. Required observation.,medical,S9127407A
POL-2024-469039,Passport stolen in intersection. Had to turning left. Additional costs incurred. Previous claim history: none.,travel,S9355565E
POL-2020-530915,Allergic reaction to latex. Experienced severe pain. Emergency treatment required.,medical,S4247083E
POL-2023-868686,Pre-existing seizure aggravated during travel. Required emergency surgery. Previous claim history: none.,medical,S6760669D
POL-2022-404103,Single vehicle accident due to animal crossing. concussion sustained. Vehicle rear damage.,vehicle,S9954070A
POL-2020-976288,Water damage to apartment due to brake failure. Estimated repair cost $10000.,property,S6480563C
POL-2023-403959,Slipped and fell at highway. Resulted in concussion. Required physical therapy.,medical,S1655729G
POL-2024-209444,Flight delayed for 48 hours. Missed cruise departure. Incurred $500 in expenses.,travel,S5238976F
POL-2024-723907,Trip cancelled due to medical emergency. Non-refundable bookings worth $25000.,travel,S6119085D
POL-2021-568795,Flight delayed for 3 hours. Missed connecting flight. Incurred $1000 in expenses. Photos attached.,travel,S4968858A
POL-2020-720939,Vandalism to apartment. minor scratches requiring professional repair. Photos attached.,property,S7549444G
POL-2020-685061,Single vehicle accident due to mechanical failure. bruises sustained. Vehicle significant damage.,vehicle,S7499536E
POL-2023-697145,Hit and run incident in residential area. Vehicle front bumper damaged. Driver had whiplash.,vehicle,S5935684G
POL-2020-132747,Rear-ended by another vehicle while changing lanes. Suffered knee injury. Police report filed.,vehicle,S3717833G
POL-2021-384566,Equipment failure during cycling resulted in fractured ribs. Required medication.,sports,S3061504A
POL-2023-387581,Fell ill with stomach flu during trip to Mexico. Medical expenses $25000. No witnesses present.,travel,S1725880G
POL-2021-222504,Car accident on Interstate 95 involving 3 vehicles. knee injury reported. minor scratches to vehicle.,vehicle,S7338932C
POL-2021-230950,Trip cancelled due to natural disaster. Non-refundable bookings worth $2500.,travel,S3990713C
POL-2020-371182,Sudden diabetic emergency while sightseeing. Transported to hospital. observation administered. Photos attached.,medical,S5947520H
POL-2024-558304,Vehicle collided with barrier at office building. Driver experienced bruises. Clear conditions. No witnesses present.,vehicle,S7247255D
POL-2022-864049,Vehicle collided with pole at residential area. Driver experienced whiplash. Rainy conditions.,vehicle,S3301496E
POL-2021-195844,Injured elbow while playing basketball. shoulder pain diagnosed. Treatment: medication.,sports,S7616706C
POL-2021-546272,Passport stolen in residential area. Had to slowing down. Additional costs incurred.,travel,S8773126H
POL-2022-681061,Rear-ended by another vehicle while parking. Suffered fractured ribs. Police report filed.,vehicle,S6813390F
POL-2022-206328,Pre-existing seizure aggravated during travel. Required physical therapy.,medical,S6809536C
POL-2020-157398,Vehicle collided with another vehicle at intersection. Driver experienced fractured ribs. Icy conditions. Seeking full compensation.,vehicle,S2409846H
POL-2022-594525,Car accident on Park Avenue involving 3 vehicles. bruises reported. minor scratches to vehicle.,vehicle,S8618668E
POL-2020-973743,Fell ill with COVID-19 during trip to Brazil. Medical expenses $1000.,travel,S9873878E
POL-2022-403442,Vandalism to home. total loss requiring professional repair.,property,S8708498D
POL-2021-304719,Rear-ended by another vehicle while stopped at traffic light. Suffered knee injury. Police report filed.,vehicle,S9192824A
POL-2021-965597,Passport stolen in parking lot. Had to turning left. Additional costs incurred.,travel,S2151716D
POL-2024-660933,Vandalism to office. front bumper damaged requiring professional repair.,property,S9606373H
POL-2021-110111,Single vehicle accident due to slippery road. knee injury sustained. Vehicle total loss.,vehicle,S9051705H
POL-2020-566794,Fell ill with food poisoning during trip to Mexico. Medical expenses $5000.,travel,S6259001C
POL-2020-636749,Slipped and fell at intersection. Resulted in knee injury. Required observation. Photos attached.,medical,S9097203A
POL-2020-870934,Sudden heart palpitations while dining. Transported to hospital. medication administered.,medical,S7400775H
POL-2021-320096,"Fire damage at office building. business documents, laptop destroyed. Total loss estimated at $25000. Seeking full compensation.",property,S2095626E
POL-2022-155216,Passport stolen in office building. Had to stopped at traffic light. Additional costs incurred.,travel,S8214397E
POL-2024-724508,Sudden heart palpitations while exercising. Transported to hospital. medication administered.,medical,S2881825A
POL-2021-199824,Passport stolen in office building. Had to turning left. Additional costs incurred.,travel,S4925072F
POL-2021-782152,Car accident on Route 66 involving multiple vehicles. fractured ribs reported. rear damage to vehicle.,vehicle,S5873938E
POL-2023-444555,Passport stolen in intersection. Had to slowing down. Additional costs incurred. Previous claim history: none.,travel,S3863813F
POL-2021-250427,Single vehicle accident due to mechanical failure. shoulder pain sustained. Vehicle rear damage.,vehicle,S2864986A
POL-2022-654504,Pre-existing chest pain aggravated during travel. Required observation.,medical,S2241156C
POL-2022-444699,"Burglary at residence. jewelry, camera equipment stolen. Property damage includes total loss.",property,S6505715E
POL-2024-209902,Rear-ended by another vehicle while parking. Suffered whiplash. Police report filed.,vehicle,S3682273G
POL-2024-219618,Passport stolen in parking lot. Had to slowing down. Additional costs incurred.,travel,S6733093G
POL-2022-452908,Slipped and fell at residential area. Resulted in concussion. Required emergency surgery.,medical,S9249090B
POL-2022-254986,Sudden heart palpitations while traveling. Transported to hospital. observation administered. Photos attached.,medical,S1788429F
POL-2024-664617,Fell ill with COVID-19 during trip to India. Medical expenses $1000. Seeking full compensation.,travel,S2500390F
POL-2020-703637,Single vehicle accident due to brake failure. back pain sustained. Vehicle front bumper damaged.,vehicle,S1335128B
POL-2024-597350,Car accident on Highway 1 involving 3 vehicles. neck strain reported. significant damage to vehicle. No witnesses present.,vehicle,S9936187C
POL-2024-936345,Single vehicle accident due to slippery road. back pain sustained. Vehicle front bumper damaged.,vehicle,S9910694F
POL-2021-849347,Sudden diabetic emergency while sightseeing. Transported to hospital. emergency surgery administered.,medical,S3275477E
POL-2021-561237,Car accident on Route 66 involving 3 vehicles. knee injury reported. total loss to vehicle.,vehicle,S7360488G
POL-2022-671004,Hit and run incident in highway. Vehicle minor scratches. Driver had neck strain.,vehicle,S2012566A
POL-2022-504576,"Fire damage at office building. jewelry, camera equipment destroyed. Total loss estimated at $25000. Photos attached.",property,S5132400B
POL-2023-404272,Single vehicle accident due to mechanical failure. whiplash sustained. Vehicle total loss.,vehicle,S2940958B
POL-2021-579131,Rear-ended by another vehicle while turning left. Suffered knee injury. Police report filed.,vehicle,S8911074H
POL-2022-285691,Sudden diabetic emergency while exercising. Transported to hospital. physical therapy administered.,medical,S6756521D
POL-2020-209935,Fell ill with food poisoning during trip to Mexico. Medical expenses $5000.,travel,S7915713B
POL-2022-144935,Injured elbow while playing cycling. whiplash diagnosed. Treatment: medication.,sports,S6026673G
POL-2021-108674,Hit and run incident in shopping mall. Vehicle significant damage. Driver had bruises. Previous claim history: none.,vehicle,S3271113H
POL-2022-809290,Vehicle collided with barrier at office building. Driver experienced neck strain. Normal conditions. No witnesses present.,vehicle,S2718802E
POL-2023-619356,Pre-existing heart palpitations aggravated during travel. Required emergency surgery. Previous claim history: none.,medical,S7908210A
POL-2022-435440,Trip cancelled due to medical emergency. Non-refundable bookings worth $2500.,travel,S5667750H
POL-2021-986946,Sudden asthma attack while exercising. Transported to hospital. physical therapy administered.,medical,S6513853H
POL-2020-894358,"Allergic reaction to shellfish. Experienced nausea, vomiting, diarrhea. Emergency treatment required.",medical,S8127267B
POL-2024-617385,Hit and run incident in shopping mall. Vehicle rear damage. Driver had neck strain. Insurance claim to follow.,vehicle,S4494099B
POL-2022-897946,Slipped and fell at downtown. Resulted in fractured ribs. Required emergency surgery. No witnesses present.,medical,S4597858G
POL-2022-302376,Sudden asthma attack while sightseeing. Transported to hospital. emergency surgery administered. Insurance claim to follow.,medical,S1208983B
POL-2021-141438,Injured knee while playing cycling. concussion diagnosed. Treatment: medication. Urgent processing requested.,sports,S6849893E
POL-2023-240457,Car accident on Highway 1 involving 2 vehicles. back pain reported. significant damage to vehicle.,vehicle,S6974357H
POL-2024-325539,Car accident on Route 66 involving 2 vehicles. bruises reported. front bumper damaged to vehicle.,vehicle,S5565271B
POL-2021-251202,Passport stolen in shopping mall. Had to stopped at traffic light. Additional costs incurred.,travel,S6193662B
POL-2023-368183,Vandalism to apartment. significant damage requiring professional repair. Photos attached.,property,S8963631C
POL-2022-931993,Car accident on Park Avenue involving 3 vehicles. whiplash reported. total loss to vehicle.,vehicle,S2310780H
POL-2020-301765,Single vehicle accident due to animal crossing. knee injury sustained. Vehicle front bumper damaged. Seeking full compensation.,vehicle,S2809964A
